Seasons,Hours of Performance,Rating,House,Name,Size,Parfumo Rating,Notes,Accords,Genre,Silliage,Sprays,Perfumer,Comments
Hot,2,7.5,Acqua di Parma,Colonia C.L.U.B.,100,7.9,aromatic-fresh spicy-citrus-woody-green-musky-powdery,fresh-woody,Fougere,1,,,minty and fresh
Hot,2,7.75,Acqua di Parma,Colonia Intensa,10,7.7,citrus-fresh spicy-aromatic-warm spicy-woody-fresh-leather-herbal-amber,citrusy-fresh,Fougere,2,5,Alberto Morillas and François Demachy,citrus start -> musk -> wood and leather
Cold,8,7,Acqua di Parma,Oud ,10,8.2,,woody-spicy,Wood,3,7,,floral start citrus for 6 hours then wood skin scent
Hot,10,8.25,Ahmed Al Maghribi,Aqua Oud (AdG DNA),90,8.2,"Top Notes: Sea Notes, Bergamot Heart Notes:  Rosemary, Sage, Geranium, Anise Base Notes: Incense, Patchouli, Ambroxan, White Musk, Vetiver, Moss  ",fresh-aquatic,Aquatic,5,5,,AdG DNA nuclear 
Cold,,0,Ahmed Al Maghribi,Bin Shaikh,100,8.6,,woody-oriental,Wood,,,Ahmed Al Maghribi,
Any,8,8.5,Ahmed Al Maghribi,Blue Oud (Gissah Imperial Valley),10,8.3,"Top Notes: Bergamot, Cypress, Leather Heart Notes:Incense, Violet Leaves, Geranium Base Notes:   Patchouli, Musk, Agarwood, Guaiac Wood",woody-leathery,Wood,6,4,Ahmed Al Maghribi,incense based with Bergamot. nicely blended and nuclear. reminds me of Interlude Black Iris
Cold,10,8.25,Ahmed Al Maghribi,Cinder (Gissah Imperial Valley),10,8,,woody-spicy,Wood,6,4,Ahmed Al Maghribi,
Cold,5,9,Ahmed Al Maghribi,Ighraa (Dior Sauvage Elixir),110,8.4,"Top Notes:  Tobacco, Black Pepper, Pineapple, Cardamom, Nutmeg, Cinnamon, Grapefruit Heart Notes: Patchouli, Coffee, Iris, Lavender. Base Notes:   Vanilla, Amber, Drywood, Benzoin, Labdanum, Sandalwood, Haitian Vetiver",woody-spicy,Wood,6,3,Ahmed Al Maghribi,Excellent
Cold,4,7,Ahmed Al Maghribi,Ignite Rose ,10,8,,floral-fougèreartig,,4,6,Ahmed Al Maghribi,all rose
Hot,10,8.5,Ahmed Al Maghribi,Kaaf (A&F Fierce),10,7.9,"Top Notes: Red Fruits, Watermelon, Lavender, Sicilian Orange Jeart Notes: Sandalwood, Ambroxan, White Musk. Base Notes:  Lotus, Jasmine, Lily of the Valley, Sea Accord",fresh-aquatic,Fresh,5,7,Ahmed Al Maghribi,Shower Gel nice musky with fruit opening
Any,12,8.25,Ahmed Al Maghribi,Laathani (Gissah Imperial Valley),10,8.5,"Top Notes: Fresh Notes, Candied Fruits, Pink Pepper Heart Notes:Oud Accords, Rosemary, Bakhoor Accords",woody-fresh,Wood,5,7,Ahmed Al Maghribi,Starts out sweet and fruity. a touch more sweetness and a little less incense compared to Blue Oud. a little more powerful.
Cold,8,9,Ahmed Al Maghribi,Marj ,10,8.4,"Top Notes:  Bergamot, Pink Pepper, Elemi, Nutmeg, Tangerine, Oud, Honey. Heart Notes:  Patchouli, Aromatic Accords, Vetiver, Cashmere Wood, Cinnamon, Rose, Saffron, Jasmine, Orange Blossom Base  Notes: Musk, Amber, Raspberry, Saffron, Oakmoss, Powdery, Ambrette Seeds, Leather, Sandalwood, Violet, Agarwood, Ambroxan",oriental-floral,Wood,5,6,Ahmed Al Maghribi,"excellent construction oud accord with white florals, fruity and amber"
Cold,6,8,Ahmed Al Maghribi,Rawdha,10,8.6,,floral-oriental,Fresh,3,5,Ahmed Al Maghribi,Rose forward at the start but gets soapy. excellent blend
Hot,3,7,Ahmed Al Maghribi,Zeleny (PDM Greenly),10,8.5,,woody-fresh,,1,6,Ahmed Al Maghribi,Fruity for a couple hours and feminine
Hot,4,8.25,Al Haramain,Amber Oud Aqua Dubai (LV Imagination),100,8.1,,citrusy-fresh,Fresh,2,,,Gym- Fresh clean gym scent
Hot,6,8.25,Al Haramain,L'Aventure Knight (Creed GIT),100,7.3,,fresh-green,Powder,1,,,Powdery GIT
Any,,0,Al Rehab,Blue (AdG),6,6.3,,fresh-citrus,Aquatic,,,,AdG dupe
Any,5,8.25,Al Rehab,Champion Black Roll-on Oil (Creed GIT),36,5.4,,green-fresh,Fresh,4,30,,GIT dupe
Any,,0,Al Rehab,Choco Musk,6,7.7,,gourmond-sweet,Gourmond,,,,measured in inches of rollon
Any,,8,Al Rehab,Clever Man (Lacoste L.12.12 White),6,7.5,,,,3,12,,bright citrusy with a balanced musk 
Any,6,8,Al Rehab,Dakar Roll-on Oil (Drakkar),48,8.2,,green-fresh,Fougere,6,12,,measured in inches of rollon
Any,,0,Al Rehab,Lord (Lapidus Pour Homme),6,7.3,,spicy-fougering,Fougere,,,,Lapidus Pour Homme
Any,,6,Al Rehab,Lord Blue Roll-on Oil (Dior Sauvage),36,7.8,,,,,,,Sauvage
Any,6,7.75,Al Rehab,Sultan al Oud Roll-on Oil (Nasomatto Black Afgano),36,7.9,,woody-oriental,Vanilla,3,20,,measured in inches of rollon
Any,5,7,Al Rehab,Sultan Roll-on Oil (Arabian Oud Sultani),36,7.4,,spicy-woody,Musk,2,30,,measured in inches of rollon
Any,,0,Al Rehab,Superman,6,7.5,,spicy-oriental,,,,,measured in inches of rollon
Any,,0,Al Rehab,U2,6,7,,fresh-woody,,,,,measured in inches of rollon
Any,,0,Al Rehab,Yes,6,7,,,,,,,measured in inches of rollon
Any,,0,Al Rehab,Zidan,6,7,,sweet-green,,,,,measured in inches of rollon
Hot,6,7.5,Amouage,Beach Hut Man,5,7.9,green-woody-aromatic-earthy-mossy-fresh-fresh spicy,green-fresh,Fougere,3,4,Elise Benat,Minty fougere
Cold,,7.75,Amouage,Boundless,2,8.1,,spicy-woody,,,,Karine Vinchon Spehner,
Any,8,8.75,Amouage,Decision ,12,8,amber-aromatic-fresh spicy-warm spicy-woody-balsamic-vanilla-citrus-sweet,spicy-woody,Spice,4,,Quentin Bisch,2 sprays 
Any,2,3,Amouage,Enclave,2,8.1,,spicy-fresh,Fougere,?,,Julien Rasquinet,not a fougere. mint for an hour and then its gone
Cold,4,6.5,Amouage,Epic Man,2,8,,spicy-woody,Spice,2,,Randa Hammami,Oriental- Green kinda of smells like teriyaki 
Cold,4,7.75,Amouage,Imitation Man,2,7.4,,floral-leathery,Chypre,2,5,Leslie Girard,rose is strong on clothes so skin only 2 to the neck and 2 on each wrist
Cold,12,8.75,Amouage,Interlude 53,15,8.4,,smoky-spicy,Spice,6,,Pierre Negrin,Incense- 2 sprays smoky excellence
Cold,12,8.5,Amouage,Interlude Black Iris,17,8.2,amber-woody-powdery-iris-fresh spicy-warm spicy-leather-aromatic-balsamic-oud,smoky-spicy,Spice,6,,Pierre Negrin,Incense- Rosemary start
